Date, Close/Last, Volume, Open, High, Low
10/01/2015,$144.56,2646439,$144.85,$144.85,$142.50
09/30/2015,$144.57,2549210,$143.54,$144.95,$142.89
09/29/2015,$143.72,2507747,$143.04,$144.14,$142.25
09/28/2015,$143.55,2543208,$145.39,$145.80,$143.29
09/25/2015,$145.55,1845059,$145.95,$146.90,$145.01
09/24/2015,$144.87,1973930,$144.37,$145.42,$143.65
09/23/2015,$145.43,2309872,$143.46,$145.63,$142.65
09/22/2015,$142.65,1787199,$141.82,$142.95,$140.81
09/21/2015,$143.21,1003742,$142.36,$143.78,$142.09
09/18/2015,$141.81,2833678,$142.14,$144.34,$141.70
09/17/2015,$143.35,1514498,$143.90,$145.04,$143.16
09/16/2015,$143.61,1374498,$142.21,$143.86,$141.75
09/15/2015,$142.43,1349715,$141.32,$142.96,$140.24
09/14/2015,$141.15,1123359,$141.18,$141.41,$140.24
09/11/2015,$141.05,1452838,$139.85,$141.20,$139.28
09/10/2015,$140.01,1346132,$139.04,$140.96,$138.99
09/09/2015,$139.68,1390773,$142.35,$142.35,$139.39
09/08/2015,$141.43,1637827,$140.54,$141.48,$139.12
09/04/2015,$138.48,2124439,$138.80,$139.46,$138.18
09/03/2015,$140.48,1615413,$140.94,$141.70,$140.10
09/02/2015,$140.42,1810289,$139.83,$140.87,$138.42
09/01/2015,$138.30,2966367,$137.58,$139.90,$137.50
08/31/2015,$140.05,3005797,$139.25,$140.23,$138.51
08/28/2015,$139.95,1850837,$139.75,$140.30,$138.64
08/27/2015,$140.21,2603035,$140.47,$140.75,$137.59
08/26/2015,$138.16,3092923,$136.11,$138.28,$133.35
08/25/2015,$132.71,4643397,$136.78,$138.38,$132.65
08/24/2015,$132.97,5196602,$131.97,$137.16,$117.03
08/21/2015,$138.99,3610910,$142.22,$143.33,$138.99
08/20/2015,$143.71,1784288,$144.29,$144.88,$143.29
08/19/2015,$145.17,1436522,$145.39,$145.94,$143.64
08/18/2015,$145.63,1099071,$146.16,$146.48,$145.12
08/17/2015,$146.09,912567,$145.15,$146.24,$144.98
08/14/2015,$146.09,1210404,$144.88,$146.42,$144.88
08/13/2015,$145.27,1114183,$146.36,$146.98,$145.18
08/12/2015,$146.49,1963776,$144.95,$146.72,$143.35
08/11/2015,$145.89,1260671,$145.28,$146.29,$145.01
08/10/2015,$146.25,1072584,$146.30,$146.79,$145.68
08/07/2015,$145.26,1229408,$146.02,$146.44,$144.35
08/06/2015,$146.44,1947957,$147.15,$147.59,$145.98
08/05/2015,$146.89,1687851,$145.83,$147.04,$145.65
08/04/2015,$144.84,1314879,$145.11,$145.82,$144.19
08/03/2015,$145.52,1325410,$145.78,$146.11,$144.65
07/31/2015,$145.30,1386717,$146.19,$146.19,$145.01
07/30/2015,$145.30,1392698,$145.15,$145.86,$144.02
07/29/2015,$145.38,1840542,$144.80,$146.76,$144.75
07/28/2015,$144.55,1376487,$144.53,$144.70,$142.91
07/27/2015,$144.25,1431268,$144.78,$144.89,$143.53
07/24/2015,$144.99,1271678,$145.71,$145.93,$144.89
07/23/2015,$145.60,1356889,$146.85,$147,$145.38
07/22/2015,$146.38,1612019,$145.22,$146.48,$145.02
07/21/2015,$144.94,1576786,$145.19,$145.40,$144.43
07/20/2015,$145.04,1243630,$144.58,$145.23,$144.02
07/17/2015,$144.68,1842028,$144.12,$144.89,$143.16
07/16/2015,$144.33,1147962,$144.15,$144.49,$143.44
07/15/2015,$143.63,1306419,$143.93,$144.18,$142.92
07/14/2015,$143.93,1512809,$143.65,$144.29,$143.16
07/13/2015,$144.06,1847284,$143.86,$145.07,$143.50
07/10/2015,$142.72,2846396,$141.71,$143.43,$141.17
07/09/2015,$139.45,3318647,$141.35,$141.50,$137.71
07/08/2015,$139.90,2917195,$139.98,$140.53,$139.27
07/07/2015,$140.50,3788572,$136.30,$140.87,$136.03
